Satellite (Orbital position);Azimuth angle;Elevation angle;LNB tilt (Skew);Distance to satellite;Signal delay;Declination angle;Polarmount hour angle;Angle setting on motor;
Intelsat 33e (60.0°East);121.72°;62.27°;-55.98°;36414.68 Km;242.76 ms;-2.25°;156.66°;23.34°East;
Intelsat 35e (34.5°West);266.43°;6.58°;76.53°;40968.82 Km;273.13 ms;-1.98°;262.78°;82.78°West;
Intelsat 37e (18.0°West);262.00°;23.13°;74.77°;39252.77 Km;261.69 ms;-2.08°;245.68°;65.68°West;
Intelsat 39 (62.0°East);119.11°;60.33°;-58.35°;36504.58 Km;243.36 ms;-2.25°;154.35°;25.65°East;
Intelsat 901 (27.5°West);264.68°;13.50°;75.97°;40223.66 Km;268.16 ms;-2.02°;255.65°;75.65°West;
KazSat 2 (86.5°East);102.05°;35.03°;-72.35°;38180.47 Km;254.54 ms;-2.15°;126.74°;53.26°East;
KazSat 3 (58.5°East);123.91°;63.69°;-53.96°;36352.51 Km;242.35 ms;-2.25°;158.40°;21.6°East;
Koreasat 5 / 5A (113.0°East);93.93°;8.04°;-76.43°;40807.75 Km;272.05 ms;-1.99°;98.72°;81.28°East;
Koreasat 6 / 7 (116.0°East);93.21°;5.13°;-76.62°;41130.43 Km;274.2 ms;-1.96°;95.72°;84.28°East;
Measat 3 / 3b (91.5°East);100.14°;29.83°;-73.56°;38629.70 Km;257.53 ms;-2.12°;121.29°;58.71°East;
Measat 3a (91.4°East);100.18°;29.93°;-73.54°;38620.44 Km;257.47 ms;-2.12°;121.40°;58.6°East;
NigComSat 1R (42.5°East);169.02°;74.46°;-10.70°;35985.02 Km;239.9 ms;-2.27°;177.07°;2.93°East;
Nilesat 201 (7.0°West);258.15°;34.51°;72.48°;38224.07 Km;254.83 ms;-2.15°;233.81°;53.81°West;
NSS 12 (57.0°East);126.34°;65.08°;-51.70°;36294.94 Km;241.97 ms;-2.25°;160.14°;19.86°East;
Paksat 1R (38.0°East);188.82°;74.56°;8.60°;35982.53 Km;239.88 ms;-2.26°;182.34°;2.34°West;
Rascom QAF 1R (2.8°East);253.49°;44.76°;69.10°;37430.69 Km;249.54 ms;-2.19°;222.94°;42.94°West;

SES 12 (95.0°East);98.95°;26.21°;-74.26°;38960.24 Km;259.73 ms;-2.10°;117.52°;62.48°East;
SES 4 (22.0°West);263.18°;19.05°;75.35°;39654.25 Km;264.36 ms;-2.06°;249.91°;69.91°West;
SES 5 (5.0°East);252.19°;47.06°;68.07°;37271.98 Km;248.48 ms;-2.20°;220.47°;40.47°West;
SES 6 (40.5°West);267.84°;0.97°;76.83°;41617.31 Km;277.45 ms;-1.89°;268.57°;88.57°West;
SES 7 / 9 (108.2°East);95.14°;12.80°;-76.04°;40297.31 Km;268.65 ms;-2.02°;103.63°;76.37°East;
ST 2 (88.0°East);101.45°;33.47°;-72.74°;38312.18 Km;255.41 ms;-2.14°;125.10°;54.9°East;
Türksat 3A / 4A (42.0°East);171.18°;74.56°;-8.60°;35982.53 Km;239.88 ms;-2.26°;177.66°;2.34°East;
Telkom 3S (118.0°East);92.74°;3.23°;-76.72°;41346.54 Km;275.64 ms;-1.94°;93.77°;86.23°East;
Telkom 4 (108.0°East);95.19°;13.00°;-76.02°;40276.24 Km;268.51 ms;-2.02°;103.84°;76.16°East;
Telstar 11N (37.6°West);267.17°;3.60°;76.70°;41303.27 Km;275.36 ms;-1.94°;265.85°;85.85°West;
Telstar 12 Vantage (15.0°West);261.05°;26.21°;74.26°;38960.24 Km;259.73 ms;-2.10°;242.48°;62.48°West;
Thaicom 4 (119.5°East);92.39°;1.85°;-76.79°;41508.94 Km;276.73 ms;-1.91°;92.34°;87.66°East;
Thaicom 6/8 (78.5°East);105.79°;43.40°;-69.65°;37528.02 Km;250.19 ms;-2.18°;135.60°;44.4°East;
Thor 5/6 (0.8°West);255.39°;40.99°;70.54°;37706.44 Km;251.38 ms;-2.18°;226.97°;46.97°West;
Thor 7 (0.6°West);255.29°;41.20°;70.47°;37690.62 Km;251.27 ms;-2.18°;226.74°;46.74°West;
TurkmenÄlem/MonacoSat (52.0°East);136.62°;69.33°;-42.01°;36136.90 Km;240.91 ms;-2.26°;165.96°;14.04°East;
WGS 3 (12.5°West);260.21°;28.79°;73.77°;38722.88 Km;258.15 ms;-2.11°;239.79°;59.79°West;
Yamal 401 (90.0°East);100.69°;31.39°;-73.23°;38491.93 Km;256.61 ms;-2.13°;122.92°;57.08°East;
Yamal 402 (54.9°East);130.21°;66.94°;-48.08°;36222.16 Km;241.48 ms;-2.26°;162.58°;17.42°East;
Yamal 601 (49.0°East);144.85°;71.50°;-34.12°;36067.65 Km;240.45 ms;-2.26°;169.47°;10.53°East;
